,Facility Name,Region,Activity Number,Year,Remaining Constructed Capacity (cubic yards),Utilized Capacity for reported year (cubic yards),Waste Density for reported year (tons/cubic yard),To-be-constructed Capacity (cubic yards)
0,Blydenburgh Road Landfill Complex,1.0,[52D46],2019.0,75000.0,22703.0,2.47,0.0
1,Brookhaven Waste Management Facility,1.0,[52T89],2019.0,1930908.0,1372524.0,0.89,5815000.0
2,Brookhaven Waste Management Facility,1.0,[52T89],2019.0,1930908.0,1372524.0,0.89,5815000.0
3,Brookhaven Waste Management Facility,1.0,[52T89],2019.0,1930908.0,1372524.0,0.89,5815000.0
4,Brookhaven Waste Management Facility,1.0,[52T89],2019.0,1930908.0,1372524.0,0.89,5815000.0
7,Danskammer Landfill(Mercia),3.0,[36N01],2020.0,771916.0,114.0,1.5,0.0
8,Danskammer Landfill(Mercia),3.0,[36N01],2020.0,771916.0,114.0,1.5,0.0
9,Danskammer Landfill(Mercia),3.0,[36N01],2019.0,772030.0,16819.0,1.5,0.0
10,Danskammer Landfill(Mercia),3.0,[36N01],2019.0,772030.0,16819.0,1.5,0.0
11,Danskammer Landfill(Mercia),3.0,[36N01],2019.0,772030.0,16819.0,1.5,0.0
13,Burton Clark C & D,4.0,[13D02],2020.0,96478.0,10.0,0.75,0.0
14,Burton Clark C & D,4.0,[13D02],2019.0,96748.0,849.09,0.75,0.0
15,Colonie (T) SWMF,4.0,[01M26],2019.0,497000.0,385000.0,0.75,9223522.0
16,Colonie RMW Transfer Station,4.0,[01V26],2020.0,91000.0,406000.0,0.75,9223522.0
17,Colonie RMW Transfer Station,4.0,[01V26],2020.0,91000.0,406000.0,0.75,9223522.0
18,Colonie RMW Transfer Station,4.0,[01V26],2020.0,91000.0,406000.0,0.75,9223522.0
19,Colonie RMW Transfer Station,4.0,[01V26],2020.0,91000.0,406000.0,0.75,9223522.0
20,Delaware County SWMF,4.0,[13S18],2019.0,14254.0,0.0,1.0,0.0
21,Delaware County SWMF,4.0,[13S18],2019.0,60417.1,26836.5,0.73,0.0
22,Delaware County SWMF,4.0,[13S18],2019.0,60417.1,26836.5,0.73,0.0
23,Delaware County SWMF,4.0,[13S18],2019.0,60417.1,26836.5,0.73,0.0
24,Delaware County SWMF,4.0,[13S18],2019.0,60417.1,26836.5,0.73,0.0
25,Delaware County SWMF,4.0,[13S18],2019.0,60417.1,26836.5,0.73,0.0
26,Dunn C&D LF,4.0,[42D20],2020.0,235900.0,321800.0,0.6,7505000.0
27,Dunn C&D LF,4.0,[42D20],2019.0,172300.0,663900.0,0.6,7890000.0
