type_debris,waste_quantity,pickup_name,pickup_address,pickup_city,pickup_state,pickup_zip,pickup_lat,pickup_lng,generator_name,generator_address,generator_city,generator_state,generator_zip,transporter_name,receiving_name,receiving_address,receiving_city,receiving_state,receiving_zip,receiving_lat,receiving_lng
Contaminated Fill,12 Cubic Yards,Sisters of Saint Joseph Convent,1725 Brentwood Road,Brentwood,NY,11717,40.77358879,-73.24175059,Sisters of Saint Joseph Convent,1725 Brentwood Road,Brentwood,NY,11717,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Sand Mud,4.2 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Sand Mud,12.89 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Sand Mud,12.88 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Demolition Waste,,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
Sand Mud,11.7 Tons,DOS SI Blue West Building,600 West Serovice Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
"General Fill, Residue, Mud/Silt",12 Cubic Yards,SIMS METAL MANAGEMENT,3027 Greenpoint Ave,Long Island City,NY,11101,40.73737917,-73.94423263,SIMS METAL,3027 Greenpoint Ave,Long Island City,NY,11101,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
"General Fill, Residue, Mud/Silt",12 Cubic Yards,SIMS METAL MANAGEMENT,3027 Greenpoint Ave,Long Island City,NY,11101,40.73737917,-73.94423263,SIMS METAL,3027 Greenpoint Ave,Long Island City,NY,11101,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,6 Tons,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
,10 Tons,Asplundh Yard,400 Charlotte Ave,Hicksville,NY,11801,40.76129013,-73.54951434,Asplundh Construstion Corp.,400 Charlotte Ave,Hicksville,NY,11801,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,7 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,7 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Spagnoli Road,Melville,NY,11747,40.76875001,-73.43717798
