name,address,city,state,zip,lat,lng
Sisters of Saint Joseph Convent,1725 Brentwood Road,Brentwood,NY,11717,40.77358879,-73.24175059
DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981
Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954
SIMS METAL MANAGEMENT,3027 Greenpoint Ave,Long Island City,NY,11101,40.73737917,-73.94423263
Asplundh Yard,400 Charlotte Ave,Hicksville,NY,11801,40.76129013,-73.54951434
Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839
Asplundh Yard,Conklin St & Broadhollow Rd,Farmigdale,NY,11735,40.73850107,-73.42329816
Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,40.74376831,-73.30812875
Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276
Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061
Residence,108 Candy Lane,Syosset,NY,11791,40.80829039,-73.50288001
